number,block_timestamp,miner,gas_used,gas_limit,block_size
1,2015-07-30 15:26:28.000000 UTC,0x05a56e2d52c817161883f50c441c3228cfe54d9f,0,5000,537
2,2015-07-30 15:26:57.000000 UTC,0xdd2f1e6e498202e86d8f5442af596580a4f03c2c,0,5000,544
3,2015-07-30 15:27:28.000000 UTC,0x5088d623ba0fcf0131e0897a91734a4d83596aa0,0,5000,1079
4,2015-07-30 15:27:57.000000 UTC,0xc8ebccc5f5689fa8659d83713341e5ad19349448,0,5000,1079
5,2015-07-30 15:28:03.000000 UTC,0x05a56e2d52c817161883f50c441c3228cfe54d9f,0,5000,537
6,2015-07-30 15:28:27.000000 UTC,0x0193d941b50d91be6567c7ee1c0fe7af498b4137,0,5000,537
7,2015-07-30 15:28:30.000000 UTC,0xdd2f1e6e498202e86d8f5442af596580a4f03c2c,0,5000,1078
8,2015-07-30 15:28:32.000000 UTC,0x0193d941b50d91be6567c7ee1c0fe7af498b4137,0,5000,537
9,2015-07-30 15:28:35.000000 UTC,0xdd2f1e6e498202e86d8f5442af596580a4f03c2c,0,5000,544
10,2015-07-30 15:28:48.000000 UTC,0x0193d941b50d91be6567c7ee1c0fe7af498b4137,0,5000,537
11,2015-07-30 15:28:56.000000 UTC,0x19dafe19f11e960e4ccfc6a5aa8890ebd748ca1e,0,5000,544
12,2015-07-30 15:29:04.000000 UTC,0x0193d941b50d91be6567c7ee1c0fe7af498b4137,0,5000,537
13,2015-07-30 15:29:18.000000 UTC,0xd7e30ae310c1d1800f5b641baa7af95b2e1fd98c,0,5000,544
14,2015-07-30 15:29:21.000000 UTC,0xacc8decdfdcbed202b8632947c60487494f5d2c7,0,5000,544
15,2015-07-30 15:29:28.000000 UTC,0x0193d941b50d91be6567c7ee1c0fe7af498b4137,0,5000,537
16,2015-07-30 15:29:34.000000 UTC,0x19dafe19f11e960e4ccfc6a5aa8890ebd748ca1e,0,5000,544
17,2015-07-30 15:29:38.000000 UTC,0x0193d941b50d91be6567c7ee1c0fe7af498b4137,0,5000,537
18,2015-07-30 15:29:40.000000 UTC,0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c,0,5000,538
19,2015-07-30 15:29:47.000000 UTC,0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c,0,5000,538
20,2015-07-30 15:29:49.000000 UTC,0x0193d941b50d91be6567c7ee1c0fe7af498b4137,0,5000,537
21,2015-07-30 15:29:53.000000 UTC,0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c,0,5000,1073
22,2015-07-30 15:30:04.000000 UTC,0xd7e30ae310c1d1800f5b641baa7af95b2e1fd98c,0,5000,544
23,2015-07-30 15:30:08.000000 UTC,0x0193d941b50d91be6567c7ee1c0fe7af498b4137,0,5000,537
24,2015-07-30 15:30:13.000000 UTC,0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c,0,5000,538
25,2015-07-30 15:30:14.000000 UTC,0xbb7b8287f3f0a933474a79eae42cbca977791171,0,5000,542
26,2015-07-30 15:30:16.000000 UTC,0x48cd680bb700f6b7de89dd9ff4932ccc158c3e05,0,5000,544
27,2015-07-30 15:30:23.000000 UTC,0x48cd680bb700f6b7de89dd9ff4932ccc158c3e05,0,5000,544
28,2015-07-30 15:30:28.000000 UTC,0x0193d941b50d91be6567c7ee1c0fe7af498b4137,0,5000,537
29,2015-07-30 15:30:39.000000 UTC,0x322df8fd261820c36234f806b15f51a2203a8f88,0,5000,544
30,2015-07-30 15:30:41.000000 UTC,0xbb7b8287f3f0a933474a79eae42cbca977791171,0,5000,542
31,2015-07-30 15:30:42.000000 UTC,0xacc8decdfdcbed202b8632947c60487494f5d2c7,0,5000,544
32,2015-07-30 15:30:44.000000 UTC,0x9ab9f7a4b85412bfbe2f4f63b1c98808851c4f32,0,5000,537
33,2015-07-30 15:30:45.000000 UTC,0x5088d623ba0fcf0131e0897a91734a4d83596aa0,0,5000,1085
34,2015-07-30 15:30:52.000000 UTC,0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c,0,5000,538
35,2015-07-30 15:30:55.000000 UTC,0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c,0,5000,538
36,2015-07-30 15:31:05.000000 UTC,0xbb7b8287f3f0a933474a79eae42cbca977791171,0,5000,1076
37,2015-07-30 15:31:07.000000 UTC,0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c,0,5000,1079
38,2015-07-30 15:31:09.000000 UTC,0x0193d941b50d91be6567c7ee1c0fe7af498b4137,0,5000,537
39,2015-07-30 15:31:12.000000 UTC,0xd7e30ae310c1d1800f5b641baa7af95b2e1fd98c,0,5000,544
40,2015-07-30 15:31:13.000000 UTC,0xbb7b8287f3f0a933474a79eae42cbca977791171,0,5000,542
